combo_id,seed,ct_lr,ct_w_lr,ct_multi_k_max,ct_multi_eta,ct_es_metric,ct_anchor_weight,ct_dyn_hidden,ct_dyn_con_w,ct_val_L1w,ct_val_L1anc,ct_val_MAE_uw_norm,ct_val_MAE_uw_uns,ct_val_align,ct_best_epoch,iql_best_val_mae_uns,iql_best_step,mae_uns_eval_split,eval_split
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.0,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.0,3.5566932e-08,1.1492193e-07,0.00024084093,0.01280696,0.00043603716,90,0.321017,3000,0.373855,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.01,8.854127e-08,2.7382443e-07,0.00037944925,0.020177597,0.00057789403,41,0.323812,1800,0.376837,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.01,6.4410819e-08,2.5446545e-07,0.00034257861,0.018216964,0.0007617538,65,0.324626,1800,0.377973,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.05,1.3029762e-08,1.5738781e-08,9.2092977e-05,0.0048971371,0.00018956322,119,0.317279,2000,0.369326,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.5,64,0.01,1.1337674e-07,3.8103502e-07,0.00043890519,0.023339227,0.00048797971,42,0.325394,3000,0.378379,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.05,4.7889607e-08,1.8702972e-07,0.00028400093,0.015102036,0.00067364105,98,0.319214,3000,0.371746,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.5,128,0.01,4.6044711e-08,6.8112557e-08,0.00018439913,0.0098056102,0.00020511627,132,0.289987,2000,0.340450,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.1,4.664726e-08,1.6648856e-07,0.0002530354,0.013455413,0.00055188115,70,0.323721,3000,0.377073,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.0,10,1e-4,5e-3,1,0.3,mae_uw,0.7,64,0.0,5.3793163e-08,2.1468229e-07,0.00034113122,0.018139997,0.00049777257,64,0.321599,3000,0.374370,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.1,3.7992837e-08,4.530234e-08,0.00010929789,0.0058120257,0.00010253996,127,0.299202,2400,0.349969,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.7,64,0.05,3.3985272e-08,1.0240211e-07,0.00022423283,0.011923807,0.00033671295,71,0.321311,3000,0.374431,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.0,10,1e-4,5e-3,1,0.3,mae_uw,0.5,64,0.0,3.0545095e-08,6.6899161e-08,0.00019266791,0.010245311,0.00052980623,96,0.316744,3000,0.369288,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.7,128,0.05,9.3912145e-08,3.2309935e-07,0.000367582,0.019546544,0.00046813366,77,0.317692,3000,0.370304,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.5,64,0.05,8.7266385e-08,3.4521801e-07,0.00036977384,0.019663097,0.00088456887,49,0.327115,2400,0.380471,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.7,64,0.1,3.0769225e-08,7.6352802e-08,0.00019049949,0.010130003,0.00032554818,71,0.324836,3000,0.378202,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.5,128,0.05,2.1291497e-07,8.4526571e-07,0.00061070797,0.032475014,0.00057795295,17,0.334762,1000,0.388317,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.5,64,0.1,7.7024712e-08,1.8007664e-07,0.00031306655,0.01664763,0.00054445088,70,0.324149,3000,0.377139,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.7,128,0.1,5.2157472e-08,5.2319329e-08,0.00010921122,0.0058074169,4.7735987e-05,190,0.308219,2000,0.359487,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.3,mae_uw,0.3,64,0.0,6.5651777e-05,9.7842306e-05,0.0058678655,0.31202968,0.0010478788,32,0.333634,600,0.383884,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.5,128,0.1,7.6265258e-08,8.5251851e-08,0.0001611778,0.0085707925,8.937228e-05,132,0.289196,3000,0.339043,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.3,64,0.01,6.1900335e-05,8.3715496e-05,0.0055967591,0.29761332,0.0011827387,42,0.333414,800,0.382348,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.7,64,0.01,1.2694536e-08,2.0958647e-08,0.0001027026,0.0054613147,0.00020293787,109,0.304999,3000,0.357011,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.3,128,0.05,3.9786769e-05,5.8235242e-05,0.0054441543,0.28949841,0.0012992726,47,0.327411,1000,0.374644,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.7,128,0.01,3.3395989e-08,1.6393534e-07,0.00024216668,0.012877458,0.00061750903,95,0.321359,3000,0.373872,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.3,64,0.1,5.9071635e-05,9.3926803e-05,0.0062933873,0.33465723,0.0010331892,33,0.330668,2600,0.379858,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.3,128,0.01,5.2846953e-05,7.5927337e-05,0.005261379,0.27977914,0.0011186074,36,0.332332,600,0.382465,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.3,mae_uw,0.5,64,0.0,1.6145988e-05,2.3925253e-05,0.0034840372,0.1852672,0.0014978766,112,0.316944,1000,0.365376,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.3,64,0.05,7.0919321e-05,9.3537849e-05,0.005912093,0.31438152,0.0011383384,42,0.341042,600,0.392291,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.5,64,0.01,5.4654086e-05,7.6537288e-05,0.0056351414,0.29965434,0.0012093392,33,0.334228,600,0.383627,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.3,128,0.1,6.0564231e-05,7.0729907e-05,0.0053734568,0.28573899,0.001443983,60,0.332511,1000,0.380686,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.5,128,0.05,4.6876953e-05,6.6549215e-05,0.0053721795,0.28567107,0.0011976012,36,0.327271,800,0.375620,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.5,128,0.01,4.2258787e-05,5.9673879e-05,0.005303146,0.28200015,0.0012403689,34,0.331964,600,0.381954,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.5,64,0.05,3.9754247e-05,5.7152313e-05,0.0052955568,0.28159659,0.0012782376,45,0.337090,600,0.389093,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.5,64,0.1,1.9708221e-05,2.2675506e-05,0.0033717374,0.17929554,0.0014176816,120,0.327765,1000,0.377723,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.5,128,0.1,3.5056864e-05,4.7535234e-05,0.0051875149,0.27585134,0.0014349181,54,0.332551,1000,0.380681,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.7,128,0.01,5.2327604e-05,6.7253308e-05,0.005424481,0.28845226,0.0012643129,34,0.333018,600,0.383232,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.3,mae_uw,0.7,64,0.0,4.4493553e-05,5.8966128e-05,0.005053972,0.26875007,0.0012495666,45,0.331319,1000,0.379160,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.7,64,0.05,6.9779419e-05,8.3452208e-05,0.0055667835,0.29601934,0.0013183138,49,0.334623,1800,0.385358,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.3,mae_uw,0.7,64,0.01,5.6887691e-05,7.2028226e-05,0.0052168339,0.27741041,0.0013899875,45,0.331397,600,0.381640,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.7,128,0.1,4.1576934e-05,5.3695119e-05,0.0051388618,0.27326417,0.0014201586,54,0.332377,1000,0.380222,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-128_dcw-0.05,10,1e-4,5e-3,2,0.3,mae_uw,0.7,128,0.05,6.9100775e-05,0.0001020744,0.0058004826,0.30844652,0.0010463755,27,0.331630,600,0.381301,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.5,mae_uw,0.3,64,0.0,8.9326323e-05,0.00014251611,0.0067667341,0.35982792,0.00092721116,32,0.337616,600,0.388312,false
lr-1e-4_wlr-5e-3_k-2_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.3,mae_uw,0.7,64,0.1,7.2948074e-05,0.00010326577,0.0057223759,0.30429312,0.0011937547,29,0.333281,2600,0.382198,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.3,128,0.01,5.6000487e-05,7.5962509e-05,0.0059921043,0.3186362,0.0013477145,60,0.326013,800,0.375599,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.3,64,0.01,8.4883328e-05,0.00012247955,0.0068712945,0.36538803,0.0010864946,42,0.333819,800,0.383872,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-128_dcw-0.05,10,1e-4,5e-3,2,0.5,mae_uw,0.3,128,0.05,5.4215785e-05,7.0696166e-05,0.00579473,0.30814062,0.00146277,60,0.327008,1000,0.376229,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.5,mae_uw,0.3,64,0.05,5.9540429e-05,7.559014e-05,0.0054573318,0.29019913,0.0012549241,101,0.324959,800,0.375457,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.5,64,0.01,7.2886251e-05,9.5524367e-05,0.0059376348,0.31573973,0.0013247258,45,0.334720,800,0.384695,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.3,64,0.1,8.8392578e-05,0.00011678199,0.0069260221,0.36829822,0.0012899903,61,0.337434,600,0.388738,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.3_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.3,128,0.1,5.8812601e-05,7.4086873e-05,0.0059605197,0.31695666,0.0014268958,60,0.334228,1000,0.384006,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-128_dcw-0.05,10,1e-4,5e-3,2,0.5,mae_uw,0.5,128,0.05,2.7279757e-05,3.2913959e-05,0.0039437143,0.20971099,0.0015640606,107,0.329275,1200,0.380615,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.5,mae_uw,0.7,64,0.0,7.8625512e-05,9.4029498e-05,0.0061199246,0.32543317,0.0014291477,53,0.331783,1800,0.381027,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-64_dcw-0.0,10,1e-4,5e-3,2,0.5,mae_uw,0.5,64,0.0,2.0206134e-05,2.8888784e-05,0.0040458048,0.21513976,0.0015850786,112,0.326531,1000,0.378994,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.5,128,0.01,5.4220603e-05,7.124691e-05,0.0057905202,0.30791676,0.0013998268,60,0.328378,1000,0.377809,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-128_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.7,128,0.01,2.5744933e-05,3.1050758e-05,0.0041377727,0.22003025,0.0014003274,147,0.317583,3000,0.365760,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.5,mae_uw,0.5,64,0.05,6.1080654e-05,8.2164147e-05,0.0063510195,0.33772188,0.0012200976,44,0.339898,1800,0.391370,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-64_dcw-0.05,10,1e-4,5e-3,2,0.5,mae_uw,0.7,64,0.05,8.090934e-05,0.00010118528,0.0061936856,0.32935549,0.0013110629,42,0.337751,1800,0.388791,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.5,64,0.1,4.9206042e-05,6.9706879e-05,0.0058758558,0.31245457,0.0014237042,51,0.339192,1000,0.389057,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-64_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.7,64,0.1,7.0704938e-05,7.3035853e-05,0.0054739043,0.29108039,0.0014246717,67,0.340397,1000,0.390334,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.5_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.5,128,0.1,6.6855918e-05,7.8028197e-05,0.0059595381,0.31690446,0.0015125907,60,0.330536,800,0.380246,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-128_dcw-0.1,10,1e-4,5e-3,2,0.5,mae_uw,0.7,128,0.1,5.6144573e-05,7.1268455e-05,0.0059284762,0.31525271,0.0015034887,54,0.337129,800,0.387319,false
lr-1e-4_wlr-5e-3_k-2_eta-0.5_esm-mae_uw_aw-0.7_dh-64_dcw-0.01,10,1e-4,5e-3,2,0.5,mae_uw,0.7,64,0.01,5.4803983e-05,7.0142293e-05,0.0052365897,0.27846095,0.0012229783,44,0.329368,800,0.378786,false